id_a,character_a,id_b,character_b,similarity,collision_risk,recommended_fix
community-review-12-20260907,衛宮士郎,community-review-30-20260907,尼古貓貓,0.1134,acceptable,
b2-orphen,歐菲,godie-e00r,初號機,0.1133,acceptable,
b2-rin,遠坂凜,b2-uncle,異世界舅舅,0.1133,acceptable,
community-review-18-20260907,吉爾伽美什,godie-efur,揍敵客大家長－揍敵客桀諾,0.1133,acceptable,
b2-maple,梅普露,godie-zombiex,聖杯黑泥醬－喪標麥可,0.1132,acceptable,
community-review-37-20260907,吉伊卡哇,godie-osam,殺生丸,0.1132,acceptable,
godie-n00b,哆拉A夢,godie-u010,飛影,0.1132,acceptable,
godie-u00h,鬼畜狂刀KYO,godie-u00n,蒙其.D.魯夫,0.1132,acceptable,
community-review-22-20260907,菜月昴,godie-ubal,巴恩大魔王,0.1131,acceptable,
godie-e00w,櫻綻剎那,godie-orkn,臭作,0.1131,acceptable,
godie-h020,莉娜因巴斯,godie-o02p,初音,0.1131,acceptable,
b2-rem,蕾姆,godie-ofar,皮卡丘,0.1130,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,community-review-24-20260907,奇犽,0.1130,acceptable,
b2-zenitsu,我妻善逸,godie-e008,夏娜,0.1127,acceptable,
godie-etyr,木乃香,godie-hapm,Berserker,0.1127,acceptable,
godie-o00l,傑洛士,godie-u01u,索隆,0.1127,acceptable,
b2-kumoko,蜘蛛子,community-review-01-20260907,武藤遊戲,0.1126,acceptable,
community-review-33-20260907,近衛刀太,godie-efur,揍敵客大家長－揍敵客桀諾,0.1126,acceptable,
community-review-08-20260907,米卡莎,godie-huth,魔人普烏,0.1125,acceptable,
community-review-19-20260907,桐谷和人,godie-h00l,林克,0.1124,acceptable,
b2-rin,遠坂凜,godie-ubal,巴恩大魔王,0.1123,acceptable,
community-review-20-20260907,御坂美琴,godie-orkn,臭作,0.1122,acceptable,
b2-zenitsu,我妻善逸,godie-u010,飛影,0.1121,acceptable,
godie-e007,天地志狼,godie-u00j,賽菲洛斯,0.1121,acceptable,
godie-h01u,呂布奉先,godie-n003,依文潔琳,0.1121,acceptable,
b2-guts,凱茲,community-review-22-20260907,菜月昴,0.1120,acceptable,
b2-luckyman,幸運超人,community-review-03-20260907,不知火舞,0.1120,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-hpal,藤井八雲,0.1120,acceptable,
b2-popp,何布,godie-e00k,安云,0.1119,acceptable,
community-review-22-20260907,菜月昴,godie-orkn,臭作,0.1119,acceptable,
b2-guts,凱茲,community-review-30-20260907,尼古貓貓,0.1118,acceptable,
community-review-18-20260907,吉爾伽美什,community-review-24-20260907,奇犽,0.1118,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-h01u,呂布奉先,0.1117,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-emns,夜神月,0.1113,acceptable,
community-review-19-20260907,桐谷和人,godie-o00x,悟空,0.1113,acceptable,
community-review-03-20260907,不知火舞,godie-e007,天地志狼,0.1112,acceptable,
b2-touka,托卡・史考特,community-review-15-20260907,比利海靈頓,0.1111,acceptable,
godie-e007,天地志狼,godie-h00l,林克,0.1111,acceptable,
godie-h020,莉娜因巴斯,godie-o00l,傑洛士,0.1111,acceptable,
community-review-25-20260907,一拳超人,godie-u010,飛影,0.1110,acceptable,
b2-guts,凱茲,community-review-14-20260907,殺老師,0.1109,acceptable,
community-review-05-20260907,洛克人,community-review-24-20260907,奇犽,0.1109,acceptable,
b2-uncle,異世界舅舅,godie-h020,莉娜因巴斯,0.1108,acceptable,
godie-o00k,皮卡娘,godie-osam,殺生丸,0.1108,acceptable,
community-review-33-20260907,近衛刀太,godie-o00x,悟空,0.1107,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-h02u,草泥馬,0.1106,acceptable,
b2-goblin,哥布林殺手,godie-u00n,蒙其.D.魯夫,0.1105,acceptable,
b2-rin,遠坂凜,b2-sinbad,辛巴達,0.1105,acceptable,
community-review-20-20260907,御坂美琴,community-review-22-20260907,菜月昴,0.1105,acceptable,
community-review-12-20260907,衛宮士郎,community-review-20-20260907,御坂美琴,0.1103,acceptable,
godie-e00r,初號機,godie-o02p,初音,0.1103,acceptable,
b2-uncle,異世界舅舅,community-review-05-20260907,洛克人,0.1102,acceptable,
godie-e00k,安云,godie-ofar,皮卡丘,0.1102,acceptable,
godie-e00w,櫻綻剎那,godie-u00l,拳四郎,0.1101,acceptable,
godie-u00l,拳四郎,godie-udea,飛鼠先生,0.1101,acceptable,
b2-luckyman,幸運超人,godie-hvwd,桔梗,0.1099,acceptable,
community-review-27-20260907,庫洛魔法使,godie-h01u,呂布奉先,0.1099,acceptable,
community-review-15-20260907,比利海靈頓,godie-o02p,初音,0.1097,acceptable,
b2-nube,鵺野鳴介,godie-u00l,拳四郎,0.1096,acceptable,
community-review-01-20260907,武藤遊戲,godie-ubal,巴恩大魔王,0.1095,acceptable,
community-review-25-20260907,一拳超人,godie-u00n,蒙其.D.魯夫,0.1095,acceptable,
b2-luckyman,幸運超人,community-review-30-20260907,尼古貓貓,0.1094,acceptable,
b2-rin,遠坂凜,godie-hart,克勞德,0.1094,acceptable,
community-review-19-20260907,桐谷和人,community-review-27-20260907,庫洛魔法使,0.1094,acceptable,
godie-e001,龍宮禮奈,godie-e00w,櫻綻剎那,0.1094,acceptable,
godie-e00k,安云,godie-u01u,索隆,0.1093,acceptable,
b2-elma,艾爾瑪,godie-n01c,勇者小呆,0.1092,acceptable,
godie-h00l,林克,godie-o00l,傑洛士,0.1092,acceptable,
godie-hart,克勞德,godie-u010,飛影,0.1092,acceptable,
b2-elma,艾爾瑪,godie-n003,依文潔琳,0.1091,acceptable,
b2-uncle,異世界舅舅,community-review-30-20260907,尼古貓貓,0.1091,acceptable,
community-review-08-20260907,米卡莎,godie-o00x,悟空,0.1091,acceptable,
b2-guts,凱茲,godie-u00v,基廉列克,0.1088,acceptable,
community-review-12-20260907,衛宮士郎,godie-o00k,皮卡娘,0.1086,acceptable,
community-review-32-20260907,阿薩謝爾,godie-hapm,Berserker,0.1085,acceptable,
b2-haga,羽賀,godie-zombiex,聖杯黑泥醬－喪標麥可,0.1083,acceptable,
godie-e00r,初號機,godie-u01u,索隆,0.1083,acceptable,
b2-bojji,波吉,community-review-02-20260907,八神庵,0.1082,acceptable,
b2-haga,羽賀,godie-etyr,木乃香,0.1082,acceptable,
godie-h00l,林克,godie-n003,依文潔琳,0.1082,acceptable,
b2-orphen,歐菲,godie-o00l,傑洛士,0.1080,acceptable,
b2-touka,托卡・史考特,community-review-04-20260907,空條承太郎,0.1079,acceptable,
godie-hapm,Berserker,godie-u010,飛影,0.1079,acceptable,
b2-haga,羽賀,godie-u00j,賽菲洛斯,0.1078,acceptable,
community-review-03-20260907,不知火舞,community-review-23-20260907,坂田銀時,0.1078,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-udea,飛鼠先生,0.1078,acceptable,
community-review-02-20260907,八神庵,community-review-30-20260907,尼古貓貓,0.1077,acceptable,
godie-emfr,涅吉,godie-hpb1,蒼月潮,0.1077,acceptable,
community-review-37-20260907,吉伊卡哇,godie-hapm,Berserker,0.1076,acceptable,
community-review-12-20260907,衛宮士郎,community-review-33-20260907,近衛刀太,0.1072,acceptable,
community-review-14-20260907,殺老師,godie-e002,Saber,0.1072,acceptable,
godie-h00l,林克,godie-h020,莉娜因巴斯,0.1072,acceptable,
community-review-30-20260907,尼古貓貓,godie-hpb1,蒼月潮,0.1071,acceptable,
b2-takopi,章魚嗶,godie-h01u,呂布奉先,0.1070,acceptable,
godie-osam,殺生丸,godie-u010,飛影,0.1070,acceptable,
b2-matthias,馬提亞斯,b2-zenitsu,我妻善逸,0.1069,acceptable,
godie-o00l,傑洛士,godie-orkn,臭作,0.1069,acceptable,
community-review-05-20260907,洛克人,godie-ogld,黑人牙膏,0.1066,acceptable,
community-review-32-20260907,阿薩謝爾,godie-o00l,傑洛士,0.1065,acceptable,
godie-n00p,南野秀一,godie-orkn,臭作,0.1065,acceptable,
community-review-19-20260907,桐谷和人,godie-huth,魔人普烏,0.1064,acceptable,
godie-nplh,麻倉葉,godie-o00k,皮卡娘,0.1064,acceptable,
godie-e008,夏娜,godie-hapm,Berserker,0.1062,acceptable,
community-review-27-20260907,庫洛魔法使,godie-u00l,拳四郎,0.1061,acceptable,
community-review-15-20260907,比利海靈頓,godie-n003,依文潔琳,0.1060,acceptable,
community-review-19-20260907,桐谷和人,godie-e002,Saber,0.1060,acceptable,
godie-ogld,黑人牙膏,godie-orkn,臭作,0.1060,acceptable,
community-review-19-20260907,桐谷和人,godie-h02u,草泥馬,0.1059,acceptable,
community-review-01-20260907,武藤遊戲,godie-o00x,悟空,0.1057,acceptable,
community-review-18-20260907,吉爾伽美什,godie-e007,天地志狼,0.1055,acceptable,
b2-kumoko,蜘蛛子,godie-nplh,麻倉葉,0.1054,acceptable,
b2-rin,遠坂凜,community-review-25-20260907,一拳超人,0.1054,acceptable,
community-review-30-20260907,尼古貓貓,godie-u00l,拳四郎,0.1053,acceptable,
godie-emfr,涅吉,godie-orkn,臭作,0.1053,acceptable,
godie-orkn,臭作,godie-u010,飛影,0.1052,acceptable,
community-review-05-20260907,洛克人,godie-h02u,草泥馬,0.1051,acceptable,
community-review-37-20260907,吉伊卡哇,godie-e00k,安云,0.1051,acceptable,
community-review-24-20260907,奇犽,godie-u00h,鬼畜狂刀KYO,0.1048,acceptable,
community-review-37-20260907,吉伊卡哇,godie-etyr,木乃香,0.1048,acceptable,
godie-hblm,慈悲的王者－賈修貝爾,godie-o00k,皮卡娘,0.1046,acceptable,
community-review-02-20260907,八神庵,godie-o00l,傑洛士,0.1045,acceptable,
b2-nube,鵺野鳴介,community-review-01-20260907,武藤遊戲,0.1044,acceptable,
community-review-02-20260907,八神庵,godie-etyr,木乃香,0.1043,acceptable,
b2-popp,何布,community-review-30-20260907,尼古貓貓,0.1042,acceptable,
community-review-24-20260907,奇犽,godie-o00x,悟空,0.1042,acceptable,
b2-guts,凱茲,community-review-08-20260907,米卡莎,0.1041,acceptable,
b2-orphen,歐菲,godie-hvsh,Rider,0.1041,acceptable,
b2-guts,凱茲,godie-etyr,木乃香,0.1040,acceptable,
community-review-02-20260907,八神庵,godie-u00n,蒙其.D.魯夫,0.1040,acceptable,
godie-emfr,涅吉,godie-u00v,基廉列克,0.1040,acceptable,
b2-luckyman,幸運超人,community-review-34-20260907,高速婆婆,0.1039,acceptable,
b2-uncle,異世界舅舅,community-review-22-20260907,菜月昴,0.1039,acceptable,
community-review-03-20260907,不知火舞,community-review-25-20260907,一拳超人,0.1039,acceptable,
community-review-19-20260907,桐谷和人,godie-h01u,呂布奉先,0.1039,acceptable,
community-review-20-20260907,御坂美琴,godie-u00n,蒙其.D.魯夫,0.1039,acceptable,
godie-e008,夏娜,godie-u010,飛影,0.1039,acceptable,
community-review-04-20260907,空條承太郎,godie-o00x,悟空,0.1037,acceptable,
b2-rem,蕾姆,community-review-17-20260907,安茲·烏爾·恭,0.1036,acceptable,
community-review-23-20260907,坂田銀時,godie-n01c,勇者小呆,0.1036,acceptable,
b2-goblin,哥布林殺手,godie-emfr,涅吉,0.1035,acceptable,
godie-hapm,Berserker,godie-n00b,哆拉A夢,0.1033,acceptable,
godie-huth,魔人普烏,godie-orkn,臭作,0.1033,acceptable,
community-review-08-20260907,米卡莎,godie-h00l,林克,0.1031,acceptable,
community-review-14-20260907,殺老師,godie-n01c,勇者小呆,0.1030,acceptable,
community-review-18-20260907,吉爾伽美什,community-review-27-20260907,庫洛魔法使,0.1030,acceptable,
godie-h02r,妙蛙花,godie-hart,克勞德,0.1030,acceptable,
b2-elma,艾爾瑪,community-review-15-20260907,比利海靈頓,0.1029,acceptable,
community-review-14-20260907,殺老師,godie-h00l,林克,0.1029,acceptable,
community-review-34-20260907,高速婆婆,godie-ubal,巴恩大魔王,0.1029,acceptable,
godie-emns,夜神月,godie-hart,克勞德,0.1029,acceptable,
community-review-14-20260907,殺老師,community-review-15-20260907,比利海靈頓,0.1028,acceptable,
b2-uncle,異世界舅舅,godie-nplh,麻倉葉,0.1026,acceptable,
community-review-20-20260907,御坂美琴,godie-ofar,皮卡丘,0.1025,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-h01u,呂布奉先,0.1025,acceptable,
community-review-37-20260907,吉伊卡哇,godie-e002,Saber,0.1023,acceptable,
godie-o00x,悟空,godie-o02p,初音,0.1023,acceptable,
b2-elma,艾爾瑪,b2-sinbad,辛巴達,0.1022,acceptable,
godie-e002,Saber,godie-o00x,悟空,0.1020,acceptable,
b2-guts,凱茲,godie-hart,克勞德,0.1018,acceptable,
b2-rem,蕾姆,godie-e007,天地志狼,0.1018,acceptable,
community-review-18-20260907,吉爾伽美什,godie-edem,宇智波佐助,0.1018,acceptable,
community-review-12-20260907,衛宮士郎,godie-h02r,妙蛙花,0.1017,acceptable,
godie-n003,依文潔琳,godie-ubal,巴恩大魔王,0.1016,acceptable,
b2-luckyman,幸運超人,community-review-20-20260907,御坂美琴,0.1015,acceptable,
community-review-13-20260907,朝田詩乃,godie-u01u,索隆,0.1014,acceptable,
godie-e00r,初號機,godie-h01u,呂布奉先,0.1014,acceptable,
godie-h01n,黑崎一護,godie-hvwd,桔梗,0.1014,acceptable,
godie-huth,魔人普烏,godie-o00l,傑洛士,0.1014,acceptable,
godie-hpb1,蒼月潮,godie-n003,依文潔琳,0.1012,acceptable,
godie-o02p,初音,godie-u010,飛影,0.1012,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-12-20260907,衛宮士郎,0.1011,acceptable,
b2-luckyman,幸運超人,godie-u010,飛影,0.1011,acceptable,
godie-e008,夏娜,godie-emns,夜神月,0.1011,acceptable,
godie-h01n,黑崎一護,godie-hvsh,Rider,0.1010,acceptable,
b2-maple,梅普露,community-review-17-20260907,安茲·烏爾·恭,0.1008,acceptable,
community-review-04-20260907,空條承太郎,godie-e002,Saber,0.1008,acceptable,
b2-elma,艾爾瑪,community-review-30-20260907,尼古貓貓,0.1007,acceptable,
b2-goblin,哥布林殺手,community-review-33-20260907,近衛刀太,0.1007,acceptable,
godie-e00k,安云,godie-zombiex,聖杯黑泥醬－喪標麥可,0.1007,acceptable,
community-review-13-20260907,朝田詩乃,godie-h01u,呂布奉先,0.1006,acceptable,
community-review-37-20260907,吉伊卡哇,godie-hpb1,蒼月潮,0.1006,acceptable,
community-review-18-20260907,吉爾伽美什,godie-ogld,黑人牙膏,0.1005,acceptable,
godie-n00b,哆拉A夢,godie-ubal,巴恩大魔王,0.1003,acceptable,
b2-bojji,波吉,community-review-19-20260907,桐谷和人,0.1002,acceptable,
community-review-04-20260907,空條承太郎,godie-e00w,櫻綻剎那,0.1002,acceptable,
community-review-20-20260907,御坂美琴,godie-u00h,鬼畜狂刀KYO,0.1002,acceptable,
community-review-25-20260907,一拳超人,godie-n00b,哆拉A夢,0.1001,acceptable,
godie-hpal,藤井八雲,godie-u00v,基廉列克,0.1000,acceptable,
b2-goblin,哥布林殺手,godie-efur,揍敵客大家長－揍敵客桀諾,0.0999,acceptable,
community-review-13-20260907,朝田詩乃,godie-e00r,初號機,0.0999,acceptable,
b2-bojji,波吉,godie-u00j,賽菲洛斯,0.0998,acceptable,
community-review-19-20260907,桐谷和人,godie-e007,天地志狼,0.0998,acceptable,
godie-h01u,呂布奉先,godie-o00l,傑洛士,0.0998,acceptable,
b2-zenitsu,我妻善逸,community-review-20-20260907,御坂美琴,0.0997,acceptable,
community-review-12-20260907,衛宮士郎,godie-huth,魔人普烏,0.0997,acceptable,
b2-maple,梅普露,godie-h01n,黑崎一護,0.0996,acceptable,
b2-rin,遠坂凜,godie-n00p,南野秀一,0.0996,acceptable,
community-review-01-20260907,武藤遊戲,godie-h020,莉娜因巴斯,0.0996,acceptable,
community-review-14-20260907,殺老師,godie-hapm,Berserker,0.0996,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-u01u,索隆,0.0995,acceptable,
b2-popp,何布,godie-n01c,勇者小呆,0.0994,acceptable,
b2-popp,何布,godie-u00l,拳四郎,0.0993,acceptable,
godie-nplh,麻倉葉,godie-u00j,賽菲洛斯,0.0992,acceptable,
community-review-33-20260907,近衛刀太,godie-h01u,呂布奉先,0.0991,acceptable,
community-review-34-20260907,高速婆婆,godie-hblm,慈悲的王者－賈修貝爾,0.0991,acceptable,
godie-emfr,涅吉,godie-u00n,蒙其.D.魯夫,0.0991,acceptable,
godie-hapm,Berserker,godie-u00l,拳四郎,0.0989,acceptable,
community-review-20-20260907,御坂美琴,godie-e007,天地志狼,0.0988,acceptable,
godie-e00r,初號機,godie-hvsh,Rider,0.0988,acceptable,
community-review-17-20260907,安茲·烏爾·恭,community-review-34-20260907,高速婆婆,0.0987,acceptable,
community-review-37-20260907,吉伊卡哇,godie-o00l,傑洛士,0.0986,acceptable,
b2-luckyman,幸運超人,godie-e00k,安云,0.0985,acceptable,
community-review-08-20260907,米卡莎,godie-etyr,木乃香,0.0985,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,community-review-37-20260907,吉伊卡哇,0.0985,acceptable,
godie-e002,Saber,godie-n00p,南野秀一,0.0985,acceptable,
b2-luckyman,幸運超人,godie-ubal,巴恩大魔王,0.0984,acceptable,
b2-nube,鵺野鳴介,godie-u01u,索隆,0.0984,acceptable,
b2-rem,蕾姆,community-review-12-20260907,衛宮士郎,0.0984,acceptable,
community-review-32-20260907,阿薩謝爾,community-review-37-20260907,吉伊卡哇,0.0983,acceptable,
godie-hvsh,Rider,godie-n01c,勇者小呆,0.0982,acceptable,
community-review-25-20260907,一拳超人,community-review-27-20260907,庫洛魔法使,0.0981,acceptable,
godie-u00k,死之王,godie-u010,飛影,0.0981,acceptable,
community-review-33-20260907,近衛刀太,godie-hpal,藤井八雲,0.0980,acceptable,
godie-h02u,草泥馬,godie-hpb1,蒼月潮,0.0980,acceptable,
godie-nplh,麻倉葉,godie-orkn,臭作,0.0980,acceptable,
b2-bojji,波吉,community-review-33-20260907,近衛刀太,0.0979,acceptable,
community-review-12-20260907,衛宮士郎,godie-e008,夏娜,0.0979,acceptable,
godie-e00w,櫻綻剎那,godie-u00v,基廉列克,0.0977,acceptable,
b2-orphen,歐菲,godie-ogld,黑人牙膏,0.0976,acceptable,
godie-h00l,林克,godie-u00n,蒙其.D.魯夫,0.0975,acceptable,
godie-n01c,勇者小呆,godie-o00l,傑洛士,0.0975,acceptable,
community-review-19-20260907,桐谷和人,godie-hvsh,Rider,0.0974,acceptable,
godie-e007,天地志狼,godie-huth,魔人普烏,0.0974,acceptable,
godie-hvwd,桔梗,godie-u00v,基廉列克,0.0974,acceptable,
godie-hvsh,Rider,godie-nplh,麻倉葉,0.0973,acceptable,
b2-goblin,哥布林殺手,godie-h02r,妙蛙花,0.0972,acceptable,
godie-o00k,皮卡娘,godie-ofar,皮卡丘,0.0972,acceptable,
b2-uncle,異世界舅舅,godie-e001,龍宮禮奈,0.0971,acceptable,
community-review-19-20260907,桐谷和人,godie-ubal,巴恩大魔王,0.0970,acceptable,
b2-matthias,馬提亞斯,community-review-18-20260907,吉爾伽美什,0.0969,acceptable,
community-review-12-20260907,衛宮士郎,godie-hvsh,Rider,0.0968,acceptable,
godie-orkn,臭作,godie-u00n,蒙其.D.魯夫,0.0968,acceptable,
b2-maple,梅普露,godie-u010,飛影,0.0967,acceptable,
community-review-04-20260907,空條承太郎,community-review-13-20260907,朝田詩乃,0.0967,acceptable,
community-review-27-20260907,庫洛魔法使,godie-ubal,巴恩大魔王,0.0967,acceptable,
godie-n003,依文潔琳,godie-u00k,死之王,0.0967,acceptable,
b2-rem,蕾姆,godie-hpb1,蒼月潮,0.0963,acceptable,
b2-elma,艾爾瑪,community-review-14-20260907,殺老師,0.0962,acceptable,
godie-hapm,Berserker,godie-udea,飛鼠先生,0.0962,acceptable,
community-review-34-20260907,高速婆婆,godie-hart,克勞德,0.0961,acceptable,
godie-huth,魔人普烏,godie-nplh,麻倉葉,0.0961,acceptable,
godie-hpb1,蒼月潮,godie-ogld,黑人牙膏,0.0960,acceptable,
godie-u00n,蒙其.D.魯夫,godie-ubal,巴恩大魔王,0.0960,acceptable,
godie-nplh,麻倉葉,godie-u00h,鬼畜狂刀KYO,0.0959,acceptable,
community-review-27-20260907,庫洛魔法使,godie-h02u,草泥馬,0.0958,acceptable,
community-review-03-20260907,不知火舞,community-review-13-20260907,朝田詩乃,0.0957,acceptable,
godie-e007,天地志狼,godie-u010,飛影,0.0957,acceptable,
b2-kumoko,蜘蛛子,godie-hpal,藤井八雲,0.0956,acceptable,
community-review-01-20260907,武藤遊戲,community-review-20-20260907,御坂美琴,0.0956,acceptable,
godie-h00l,林克,godie-osam,殺生丸,0.0956,acceptable,
b2-maple,梅普露,b2-orphen,歐菲,0.0955,acceptable,
b2-sinbad,辛巴達,godie-efur,揍敵客大家長－揍敵客桀諾,0.0955,acceptable,
b2-nube,鵺野鳴介,godie-ubal,巴恩大魔王,0.0954,acceptable,
community-review-04-20260907,空條承太郎,community-review-15-20260907,比利海靈頓,0.0953,acceptable,
b2-guts,凱茲,godie-hapm,Berserker,0.0952,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-o00l,傑洛士,0.0952,acceptable,
b2-haga,羽賀,godie-h00l,林克,0.0951,acceptable,
b2-takopi,章魚嗶,godie-o02p,初音,0.0951,acceptable,
community-review-30-20260907,尼古貓貓,godie-ogld,黑人牙膏,0.0949,acceptable,
godie-e00r,初號機,godie-n00b,哆拉A夢,0.0949,acceptable,
godie-e00k,安云,godie-hpb1,蒼月潮,0.0947,acceptable,
godie-h02r,妙蛙花,godie-o00l,傑洛士,0.0947,acceptable,
b2-rem,蕾姆,godie-hvwd,桔梗,0.0946,acceptable,
b2-sinbad,辛巴達,godie-h00l,林克,0.0945,acceptable,
community-review-30-20260907,尼古貓貓,godie-efur,揍敵客大家長－揍敵客桀諾,0.0944,acceptable,
b2-orphen,歐菲,godie-udea,飛鼠先生,0.0943,acceptable,
community-review-15-20260907,比利海靈頓,community-review-24-20260907,奇犽,0.0943,acceptable,
community-review-32-20260907,阿薩謝爾,godie-ubal,巴恩大魔王,0.0943,acceptable,
community-review-01-20260907,武藤遊戲,godie-o00k,皮卡娘,0.0942,acceptable,
community-review-22-20260907,菜月昴,godie-emns,夜神月,0.0942,acceptable,
community-review-08-20260907,米卡莎,community-review-34-20260907,高速婆婆,0.0941,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-24-20260907,奇犽,0.0938,acceptable,
b2-rem,蕾姆,community-review-01-20260907,武藤遊戲,0.0938,acceptable,
community-review-30-20260907,尼古貓貓,godie-orkn,臭作,0.0938,acceptable,
godie-emfr,涅吉,godie-ofar,皮卡丘,0.0938,acceptable,
godie-e001,龍宮禮奈,godie-h02u,草泥馬,0.0937,acceptable,
b2-guts,凱茲,community-review-32-20260907,阿薩謝爾,0.0934,acceptable,
b2-guts,凱茲,godie-n00b,哆拉A夢,0.0934,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-o00k,皮卡娘,0.0934,acceptable,
godie-hpal,藤井八雲,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0934,acceptable,
godie-h01n,黑崎一護,godie-u00k,死之王,0.0933,acceptable,
b2-zenitsu,我妻善逸,community-review-37-20260907,吉伊卡哇,0.0932,acceptable,
community-review-04-20260907,空條承太郎,godie-emfr,涅吉,0.0932,acceptable,
community-review-30-20260907,尼古貓貓,godie-huth,魔人普烏,0.0932,acceptable,
b2-orphen,歐菲,b2-popp,何布,0.0931,acceptable,
godie-etyr,木乃香,godie-hpb1,蒼月潮,0.0931,acceptable,
godie-u00h,鬼畜狂刀KYO,godie-u00k,死之王,0.0931,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-hart,克勞德,0.0930,acceptable,
godie-n00b,哆拉A夢,godie-u00h,鬼畜狂刀KYO,0.0929,acceptable,
b2-maple,梅普露,godie-ubal,巴恩大魔王,0.0928,acceptable,
community-review-33-20260907,近衛刀太,godie-ubal,巴恩大魔王,0.0928,acceptable,
b2-goblin,哥布林殺手,b2-maple,梅普露,0.0927,acceptable,
community-review-08-20260907,米卡莎,godie-n00b,哆拉A夢,0.0926,acceptable,
godie-h020,莉娜因巴斯,godie-hapm,Berserker,0.0926,acceptable,
b2-elma,艾爾瑪,godie-hpb1,蒼月潮,0.0925,acceptable,
b2-matthias,馬提亞斯,community-review-01-20260907,武藤遊戲,0.0925,acceptable,
community-review-18-20260907,吉爾伽美什,community-review-32-20260907,阿薩謝爾,0.0925,acceptable,
godie-e00r,初號機,godie-o00x,悟空,0.0925,acceptable,
godie-hvwd,桔梗,godie-orkn,臭作,0.0925,acceptable,
community-review-05-20260907,洛克人,community-review-19-20260907,桐谷和人,0.0924,acceptable,
b2-elma,艾爾瑪,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0923,acceptable,
godie-e008,夏娜,godie-hvwd,桔梗,0.0923,acceptable,
godie-h01u,呂布奉先,godie-h02r,妙蛙花,0.0922,acceptable,
godie-h020,莉娜因巴斯,godie-hpb1,蒼月潮,0.0922,acceptable,
godie-hart,克勞德,godie-orkn,臭作,0.0922,acceptable,
godie-u01u,索隆,godie-ubal,巴恩大魔王,0.0921,acceptable,
b2-takopi,章魚嗶,godie-e007,天地志狼,0.0920,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-o00x,悟空,0.0920,acceptable,
community-review-13-20260907,朝田詩乃,godie-orkn,臭作,0.0919,acceptable,
godie-e007,天地志狼,godie-n003,依文潔琳,0.0919,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0918,acceptable,
community-review-30-20260907,尼古貓貓,godie-hart,克勞德,0.0917,acceptable,
godie-e001,龍宮禮奈,godie-o00l,傑洛士,0.0917,acceptable,
community-review-13-20260907,朝田詩乃,godie-u00h,鬼畜狂刀KYO,0.0915,acceptable,
godie-e002,Saber,godie-u00h,鬼畜狂刀KYO,0.0915,acceptable,
b2-sinbad,辛巴達,godie-e008,夏娜,0.0912,acceptable,
b2-guts,凱茲,godie-efur,揍敵客大家長－揍敵客桀諾,0.0911,acceptable,
b2-uncle,異世界舅舅,godie-ogld,黑人牙膏,0.0911,acceptable,
b2-kumoko,蜘蛛子,community-review-19-20260907,桐谷和人,0.0910,acceptable,
community-review-05-20260907,洛克人,godie-emns,夜神月,0.0909,acceptable,
godie-emns,夜神月,godie-osam,殺生丸,0.0909,acceptable,
godie-etyr,木乃香,godie-u00l,拳四郎,0.0909,acceptable,
b2-zenitsu,我妻善逸,godie-huth,魔人普烏,0.0907,acceptable,
b2-elma,艾爾瑪,community-review-23-20260907,坂田銀時,0.0906,acceptable,
b2-touka,托卡・史考特,community-review-17-20260907,安茲·烏爾·恭,0.0906,acceptable,
community-review-19-20260907,桐谷和人,community-review-37-20260907,吉伊卡哇,0.0906,acceptable,
godie-h02u,草泥馬,godie-u00k,死之王,0.0906,acceptable,
b2-sinbad,辛巴達,community-review-05-20260907,洛克人,0.0905,acceptable,
community-review-37-20260907,吉伊卡哇,godie-hblm,慈悲的王者－賈修貝爾,0.0905,acceptable,
godie-o00k,皮卡娘,godie-u00v,基廉列克,0.0904,acceptable,
godie-hpal,藤井八雲,godie-o00k,皮卡娘,0.0903,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-u010,飛影,0.0902,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-23-20260907,坂田銀時,0.0901,acceptable,
b2-nube,鵺野鳴介,godie-hapm,Berserker,0.0901,acceptable,
community-review-05-20260907,洛克人,godie-n00p,南野秀一,0.0900,acceptable,
